SO0111-CloudTrailToCloudWatchLogs,
SO0111-ConfigureS3BucketLogging,
SO0111-ConfigureS3BucketPublicAccessBlock,
SO0111-ConfigureS3PublicAccessBlock,
SO0111-CreateAccessLoggingBucket,
SO0111-CreateCloudTrailMultiRegionTrail,
SO0111-CreateLogMetricFilterAndAlarm,
SO0111-DisablePublicAccessForSecurityGroup,
SO0111-EnableAutoScalingGroupELBHealthCheck,
SO0111-EnableAWSConfig,
SO0111-EnableCloudTrailEncryption,
SO0111-EnableCloudTrailLogFileValidation,
SO0111-EnableCloudTrailToCloudWatchLogging,
SO0111-EnableEbsEncryptionByDefault,
SO0111-EnableEnhancedMonitoringOnRDSInstance,
SO0111-EnableKeyRotation,
SO0111-EnableRDSClusterDeletionProtection,
SO0111-EnableVPCFlowLogs,
SO0111-EnableVPCFlowLogs-remediationRole,
SO0111-MakeEBSSnapshotsPrivate,
SO0111-MakeRDSSnapshotPrivate,
SO0111-RDSMonitoring-remediationRole,
SO0111-RemoveLambdaPublicAccess,
SO0111-RemoveVPCDefaultSecurityGroupRules,
SO0111-RevokeUnrotatedKeys,
SO0111-RevokeUnusedIAMUserCredentials,
SO0111-SetIAMPasswordPolicy,
SO0111-SetSSLBucketPolicy,
